# ----------------------------------------------------------------------------------
# WARNING: These data are provisional and subject to revision. The data are provided
# as is with no warranty and on the condition that neither the data collector nor
# any of the participants in or developers of http://data.envirodiy.org may be held
# liable for any damages resulting from their use.
#
# The following metadata describe the data in this file:
# ----------------------------------------------------------------------------------
#
# Site Information
# ---------------------------
# SiteCode: SCSF010
# SiteName: Wickson Foot Bridge
# SiteDescription: 
# Latitude: 37.87251
# Longitude: -122.26199
# Elevation: 75.0
# VerticalDatum: MSL
# SiteType: Stream
# SiteNotes: 
#
# Variable and Method Information
#---------------------------
# VariableCode: Meter_Hydros21_Cond | VariableName: Specific conductance | ValueType: Chemistry | DataType: Chemistry | GeneralCategory: Time series coverage | SampleMedium: Liquid aqueous | VariableUnitsName: Microsiemen per Centimeter | VariableUnitsType: Electrical conductivity | VariableUnitsAbbreviation: uS/cm | NoDataValue: -9999.0 | TimeSupport: None | TimeSupportUnitsAbbreviation: None | TimeSupportUnitsName: None | TimeSupportUnitsType: None | MethodDescription: None | MethodLink: None | VerticalOffset: 0.0 | SensorNotes: 
# VariableCode: Meter_Hydros21_Depth | VariableName: Water depth | ValueType: Hydrology | DataType: Hydrology | GeneralCategory: Time series coverage | SampleMedium: Liquid aqueous | VariableUnitsName: Millimeter | VariableUnitsType: Length | VariableUnitsAbbreviation: mm | NoDataValue: -9999.0 | TimeSupport: None | TimeSupportUnitsAbbreviation: None | TimeSupportUnitsName: None | TimeSupportUnitsType: None | MethodDescription: None | MethodLink: None | VerticalOffset: 0.3 | SensorNotes: 
# VariableCode: Meter_Hydros21_Temp | VariableName: Temperature | ValueType: Hydrology | DataType: Hydrology | GeneralCategory: Time series coverage | SampleMedium: Liquid aqueous | VariableUnitsName: Degree Celsius | VariableUnitsType: Temperature | VariableUnitsAbbreviation: degC | NoDataValue: -9999.0 | TimeSupport: None | TimeSupportUnitsAbbreviation: None | TimeSupportUnitsName: None | TimeSupportUnitsType: None | MethodDescription: None | MethodLink: None | VerticalOffset: 0.3 | SensorNotes: 
# VariableCode: EnviroDIY_Mayfly_Batt | VariableName: Battery voltage | ValueType: Instrumentation | DataType: Instrumentation | GeneralCategory: Time series coverage | SampleMedium: Equipment | VariableUnitsName: Volt | VariableUnitsType: Electromotive force | VariableUnitsAbbreviation: V | NoDataValue: -9999.0 | TimeSupport: None | TimeSupportUnitsAbbreviation: None | TimeSupportUnitsName: None | TimeSupportUnitsType: None | MethodDescription: None | MethodLink: None | VerticalOffset: None | SensorNotes: 
# VariableCode: EnviroDIY_Mayfly_Temp | VariableName: Temperature | ValueType: Instrumentation | DataType: Instrumentation | GeneralCategory: Time series coverage | SampleMedium: Equipment | VariableUnitsName: Degree Celsius | VariableUnitsType: Temperature | VariableUnitsAbbreviation: degC | NoDataValue: -9999.0 | TimeSupport: None | TimeSupportUnitsAbbreviation: None | TimeSupportUnitsName: None | TimeSupportUnitsType: None | MethodDescription: None | MethodLink: None | VerticalOffset: None | SensorNotes: 
# VariableCode: Digi_Cellular_SignalPercent | VariableName: Percent full scale | ValueType: Instrumentation | DataType: Instrumentation | GeneralCategory: Time series coverage | SampleMedium: Equipment | VariableUnitsName: Percent | VariableUnitsType: Dimensionless | VariableUnitsAbbreviation: % | NoDataValue: -9999.0 | TimeSupport: None | TimeSupportUnitsAbbreviation: None | TimeSupportUnitsName: None | TimeSupportUnitsType: None | MethodDescription: None | MethodLink: None | VerticalOffset: None | SensorNotes: 
#
# Source Information
# ------------------
# Organization: UC Berkeley
# SourceLink: https://monitormywatershed.org/sites/SCNF010/
# ContactName: Strawberry Creek
# Phone: 
# Email: creeks@berkeley.edu
# Citation: 
#
DateTime,TimeOffset,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,EnviroDIY_Mayfly_Temp,Digi_Cellular_SignalPercent
2021-04-30 22:50:00,-8,2021-04-30 14:50:00,0.0,-3.5,24.5,4.291,27.75,90.0
2021-04-30 22:55:00,-8,2021-04-30 14:55:00,0.0,-3.3,24.5,4.23,27.75,51.0
2021-04-30 23:00:00,-8,2021-04-30 15:00:00,0.0,-3.7,24.5,4.23,27.5,90.0
2021-05-04 16:25:00,-8,2021-05-04 08:25:00,-9999.0,-9999.0,-9999.0,4.579,30.5,109.0
2021-05-04 16:30:00,-8,2021-05-04 08:30:00,0.0,-2.8,24.4,3.912,28.0,90.0
2021-05-04 16:35:00,-8,2021-05-04 08:35:00,127.7,81.7,29.8,3.912,27.25,109.0
2021-05-04 16:40:00,-8,2021-05-04 08:40:00,120.2,93.5,31.5,3.912,27.25,109.0
2021-05-04 16:45:00,-8,2021-05-04 08:45:00,118.8,96.0,31.8,3.912,27.5,109.0
2021-05-04 16:50:00,-8,2021-05-04 08:50:00,118.2,97.7,31.8,3.912,27.5,109.0
2021-05-04 16:55:00,-8,2021-05-04 08:55:00,115.5,96.7,31.6,3.912,28.0,109.0
2021-05-04 17:00:00,-8,2021-05-04 09:00:00,117.3,98.0,31.3,3.912,27.75,90.0
2021-05-04 17:10:00,-7,2021-05-04 10:10:00,116.2,99.5,30.5,4.503,30.25,109.0
2021-05-04 17:15:00,-7,2021-05-04 10:15:00,118.5,98.7,30.1,4.503,30.25,109.0
2021-05-04 17:20:00,-7,2021-05-04 10:20:00,117.7,98.5,29.8,4.503,30.5,109.0
2021-05-04 17:25:00,-7,2021-05-04 10:25:00,118.3,97.0,29.5,4.503,30.5,109.0
2021-05-04 17:30:00,-7,2021-05-04 10:30:00,119.2,97.5,29.2,4.503,30.5,109.0
2021-05-04 17:35:00,-7,2021-05-04 10:35:00,117.8,97.5,29.0,3.972,30.0,51.0
2021-05-04 17:40:00,-7,2021-05-04 10:40:00,118.8,97.8,28.8,3.957,28.0,109.0
2021-05-04 17:45:00,-7,2021-05-04 10:45:00,118.3,98.2,28.6,3.957,27.25,109.0
2021-05-04 17:50:00,-7,2021-05-04 10:50:00,118.8,97.5,28.42,3.957,27.0,109.0
2021-05-04 17:55:00,-7,2021-05-04 10:55:00,118.7,96.7,28.3,3.957,27.0,109.0
2021-05-04 18:00:00,-7,2021-05-04 11:00:00,118.3,97.2,28.08,3.957,27.0,109.0
2021-05-04 18:05:00,-7,2021-05-04 11:05:00,117.3,97.5,27.9,3.957,27.0,109.0
2021-05-04 18:10:00,-7,2021-05-04 11:10:00,119.0,97.0,27.78,3.957,27.0,109.0
2021-05-04 18:15:00,-7,2021-05-04 11:15:00,118.0,97.7,27.6,3.957,27.0,109.0
2021-05-04 18:20:00,-7,2021-05-04 11:20:00,118.3,98.0,27.5,3.957,27.0,109.0
2021-05-04 18:25:00,-7,2021-05-04 11:25:00,119.0,98.0,27.4,3.957,27.0,109.0
2021-05-04 18:30:00,-7,2021-05-04 11:30:00,119.8,97.8,27.23,3.957,27.0,51.0
2021-05-04 18:35:00,-7,2021-05-04 11:35:00,118.5,98.2,27.1,3.957,27.25,109.0
2021-05-04 18:40:00,-7,2021-05-04 11:40:00,118.7,97.2,27.0,3.957,27.25,109.0
2021-05-04 18:45:00,-7,2021-05-04 11:45:00,119.8,97.5,26.9,3.957,27.25,109.0
2021-05-04 18:50:00,-7,2021-05-04 11:50:00,119.0,97.7,26.8,3.957,27.0,109.0
2021-05-04 18:55:00,-7,2021-05-04 11:55:00,120.8,96.8,26.7,3.957,27.25,109.0
2021-05-04 19:00:00,-7,2021-05-04 12:00:00,120.3,97.7,26.62,3.957,27.25,109.0
2021-05-04 19:05:00,-7,2021-05-04 12:05:00,120.2,97.3,26.6,3.957,27.25,90.0
2021-05-04 19:10:00,-7,2021-05-04 12:10:00,120.3,96.3,26.5,3.957,27.25,51.0
